Town,Altitude,Rainfall,MaxSummer,MaxWinter,MinSummer,MinWinter,EvapVal
Aberdeen,-0.549,-1.075,0.844,0.094,0.328,-0.408,0.659
Adelaide,-0.919,0.227,-0.157,1.255,0.328,1.126,-0.515
Adendorp,-0.63,-0.392,0.844,0.094,0.328,1.126,0.072
Alicedale,-1.603,0.379,-1.159,1.255,0.328,1.894,-1.102
Aliwal North,0.756,0.769,-0.157,0.094,-0.761,-1.176,-0.515
Ashton,-1.807,-0.482,-0.157,0.094,0.328,1.126,-0.515
Barkly West,0.257,-0.212,1.845,1.255,2.141,-0.408,0.659
Barrydale,-1.409,-0.666,-1.159,-1.068,0.328,1.126,-1.102
Beaufort West,-0.321,-0.645,0.844,0.094,0.328,0.359,0.659
Bedford,-0.569,0.637,-1.159,1.255,0.328,1.126,-0.515
Bethulie,0.659,0.519,-0.157,0.094,-0.761,-0.408,-0.515
Bloemfontein,0.933,1.156,-0.157,0.094,-0.761,-1.176,0.072
Brandfort,0.955,0.884,-0.157,0.094,0.328,-1.176,0.072
Brandvlei,-0.163,-1.641,0.844,1.255,0.328,-0.408,1.833
Britstown,0.307,-0.579,0.844,0.094,0.328,-0.408,0.659
Buffelsjagsrivier,-2.075,1.884,-0.157,0.094,0.328,1.894,-1.102
Burgersdorp,0.903,0.868,-0.157,-1.068,-0.761,-1.176,-0.515
Calitzdorp,-1.68,-1.111,-0.157,1.255,0.328,1.126,-0.515
Calvinia,-0.009,-1.029,-0.157,-1.068,-0.761,0.359,0.659
Carnarvon,0.589,-0.989,-0.157,-1.068,-0.761,-0.408,1.833
Colesberg,0.906,0.024,-0.157,-1.068,-0.761,-0.408,-0.515
Cookhouse,-0.915,0.351,-0.157,1.255,0.328,1.126,-0.515
Cradock,-0.185,-0.416,0.844,0.094,0.328,0.359,0.072
Danielskuil,1.075,0.119,0.844,0.094,0.328,-0.408,0.659
De Aar,0.583,-0.48,-0.157,-1.068,-0.761,-0.408,0.659
De Hoop,-1.626,-0.548,-0.157,0.094,0.328,1.126,-0.515
De Rust,-1.17,-0.443,-1.159,0.094,0.328,1.126,-1.102
Dealesville,0.601,0.546,0.844,1.255,0.328,-1.176,0.072
Dewetsdorp,1.228,1.312,-1.159,-1.068,-0.761,-1.176,-0.515
Dordrecht,1.409,1.376,-2.661,-2.229,-2.211,-1.176,-1.102
Dysselsdorp,-1.402,-0.859,-1.159,0.094,0.328,1.126,-0.515
Edenburg,0.849,0.632,-0.157,0.094,-0.761,-1.176,0.072
Excelsior,1.079,1.236,-0.157,0.094,-0.761,-1.176,-0.515
Fauresmith,0.835,0.658,-0.157,-1.068,0.328,-0.408,0.072
Fort Beaufort,-1.24,0.854,-0.157,1.255,0.328,1.126,-1.102
Fraserburg,0.605,-0.938,-0.157,-1.068,-0.761,-1.176,1.833
Gariepdam,0.68,0.127,-0.157,-1.068,-0.761,-0.408,-0.515
George,-1.775,3.272,-2.661,-1.068,0.328,1.894,-5.798
Graaff Reinet,-0.504,-0.392,-0.157,0.094,0.328,1.126,0.072
Grahamstown,-1.048,2.147,-1.159,0.094,0.328,1.894,-1.689
Griquastad,0.72,-0.429,0.844,0.094,0.328,-0.408,0.659
Groblershoop,-0.276,-1.27,1.845,1.255,2.141,-0.408,1.833
Hankey,-2.145,0.317,-0.157,1.255,2.141,2.661,-1.689
Hanover,0.91,-0.332,-0.157,-1.068,-0.761,-1.176,0.072
Hobhouse,1.086,1.43,-1.159,-1.068,-0.761,-1.176,-1.102
Hofmeyr,0.61,-0.212,-0.157,-1.068,-0.761,-0.408,-0.515
Hopetown,0.223,-0.461,0.844,1.255,2.141,-0.408,0.659
Humansdorp,-1.926,1.771,-1.159,1.255,0.328,2.661,-5.798
Hutchinson,0.641,-0.861,-0.157,-1.068,-0.761,-0.408,1.833
Jacobsdal,0.332,-0.098,0.844,1.255,0.328,-0.408,0.659
Jagersfontein,0.966,0.658,-0.157,-1.068,-0.761,-1.176,0.072
Jamestown,1.398,0.955,-1.159,-1.068,-2.211,-1.176,-1.102
Jansenville,-1.283,-0.712,0.844,1.255,0.328,1.126,0.072
Kathu,0.542,-0.258,1.845,1.255,2.141,-0.408,0.659
Keimoes,-0.576,-1.503,1.845,2.416,2.141,0.359,1.833
Kendrew,-0.881,-0.612,0.844,1.255,0.328,0.359,0.659
Kenhardt,-0.443,-1.512,1.845,1.255,2.141,0.359,1.833
Kimberley,0.544,0.167,0.844,1.255,0.328,-0.408,0.659
Klaarstroom,-0.61,-1.241,-0.157,0.094,-0.761,1.126,-0.515
Koffiefontein,0.447,0.069,0.844,0.094,0.328,-0.408,0.072
Kuruman,0.736,-0.271,1.845,1.255,2.141,-0.408,0.072
Ladismith,-1.003,-0.588,-0.157,0.094,0.328,1.126,0.072
Lady Grey,1.495,1.945,-2.661,-2.229,-2.211,-1.176,-1.689
Laingsburg,-0.759,-1.67,-0.157,0.094,0.328,1.126,0.659
Leeu Gamka,-0.991,-1.602,1.845,0.094,0.328,0.359,0.072
Loxton,0.851,-0.85,-0.157,-1.068,-0.761,-0.408,1.833
Luckhof,0.644,-0.004,0.844,0.094,0.328,-0.408,0.072
Marydale,-0.016,-1.08,1.845,1.255,2.141,-0.408,1.833
Matjiesfontein,-0.206,-1.333,-1.159,-2.229,-2.211,0.359,0.072
Middelburg,0.578,-0.142,-0.157,-1.068,-0.761,-0.408,-0.515
Molteno,1.357,1.374,-1.159,-1.068,-2.211,-1.176,-0.515
Montagu,-1.753,-0.509,-0.157,0.094,0.328,1.126,-0.515
Murraysburg,0.436,-0.568,-0.157,-1.068,-0.761,0.359,0.072
Niekerkshoop,0.409,-0.647,0.844,0.094,0.328,-0.408,1.833
Nieu Bethesda,0.747,0.016,-1.159,-1.068,-0.761,0.359,-0.515
Noupoort,1.195,0.12,-1.159,-2.229,-0.761,-0.408,-0.515
Olifantshoek,0.637,-0.036,1.845,1.255,2.141,-0.408,1.833
Oudtshoorn,-1.509,-0.859,-1.159,0.094,0.328,1.126,-1.102
Patensie,-2.094,0.317,-0.157,1.255,2.141,2.661,-1.689
Pearston,-0.623,-0.51,0.844,1.255,0.328,0.359,0.072
Petrusberg,0.594,0.445,0.844,0.094,0.328,-1.176,0.659
Petrusville,0.458,-0.187,0.844,0.094,0.328,-0.408,0.072
Philippolis,0.876,0.046,-0.157,-1.068,-0.761,-0.408,0.072
Philipstown,0.845,-0.324,-0.157,-1.068,-0.761,-0.408,0.072
Postmasburg,0.702,-0.285,0.844,0.094,0.328,-0.408,1.833
Prieska,-0.131,-1.107,1.845,1.255,2.141,0.359,1.833
Prince Albert,-0.8,-1.332,-0.157,0.094,0.328,0.359,-0.515
Queenstown,0.226,0.883,-1.159,0.094,-0.761,-0.408,-1.102
Reddersburg,0.969,0.839,-0.157,0.094,-0.761,-1.176,0.072
Richmond,0.962,-0.239,-1.159,-1.068,-0.761,-0.408,0.072
Riebeek Oos,-0.779,0.379,-1.159,0.094,0.328,1.126,-1.689
Rietbron,-0.49,-1.251,0.844,0.094,0.328,-0.408,0.072
Ritchie,0.269,-0.098,1.845,1.255,0.328,-0.408,0.659
Rosmead,0.533,-0.142,-0.157,-1.068,-0.761,-0.408,-0.515
Rouxville,1.14,1.2,-1.159,-1.068,-0.761,-1.176,-1.102
Sedgefield,-2.213,2.181,-1.159,0.094,0.328,1.894,-1.689
Seymour,-0.474,1.131,-1.159,1.255,0.328,1.126,-1.689
Smithfield,0.926,0.804,-0.157,0.094,-0.761,-1.176,-0.515
Somerset East,-0.547,1.193,-1.159,1.255,0.328,1.126,-0.515
Springfontein,1.179,0.452,-0.157,-1.068,-0.761,-1.943,-0.515
Sterkstroom,0.808,0.723,-1.159,0.094,-0.761,-1.176,-0.515
Steynsburg,1.048,0.442,-0.157,-1.068,-0.761,-1.176,-1.102
Steytlerville,-1.281,-0.882,-0.157,1.255,0.328,1.126,-0.515
Strydenburg,0.201,-0.836,0.844,0.094,0.328,-0.408,0.659
Suurbraak,-1.972,1.884,-0.157,0.094,-0.761,1.126,-0.515
Swellendam,-1.902,1.884,-0.157,0.094,-0.761,1.126,-1.102
Tarkastad,0.689,0.168,-0.157,-1.068,-0.761,-0.408,0.072
Touws River,-0.49,-0.972,-0.157,-1.068,-0.761,0.359,-0.515
Trompsburg,0.96,0.565,-0.157,-1.068,-0.761,-1.176,0.072
Tweespruit,1.341,1.648,-1.159,-1.068,-0.761,-1.176,-1.102
Uniondale,-0.571,-0.794,-1.159,-1.068,-0.761,1.126,-1.102
Upington,-0.456,-1.339,1.845,2.416,2.141,0.359,1.833
Vanderkloof,0.447,-0.187,0.844,0.094,0.328,-0.408,0.072
Vanwyksdorp,-1.755,-0.863,-0.157,0.094,0.328,1.126,-0.515
Vanwyksvlei,-0.052,-1.51,1.845,1.255,0.328,-0.408,1.833
Venterstad,0.686,0.325,-0.157,0.094,-0.761,-1.176,-0.515
Victoria West,0.653,-0.861,-0.157,-1.068,-0.761,-0.408,1.833
Vosburg,0.314,-0.939,0.844,0.094,0.328,-0.408,1.833
Wegdraai,-0.287,-1.27,1.845,1.255,2.141,-0.408,1.833
Wepener,0.991,1.287,-0.157,0.094,-0.761,-1.176,-1.102
Williston,0.172,-1.332,-0.157,0.094,-0.761,-0.408,1.833
Willowmore,-0.355,-0.726,-0.157,-1.068,-0.761,0.359,-0.515
Winburg,1.018,0.969,-0.157,0.094,-0.761,-0.408,-0.515
Zastron,1.524,1.974,-1.159,-1.068,-0.761,-1.176,-1.102
